season,team,name,team_code
2016-17,1,Arsenal,3
2016-17,2,Bournemouth,91
2016-17,3,Burnley,90
2016-17,4,Chelsea,8
2016-17,5,Crystal Palace,31
2016-17,6,Everton,11
2016-17,7,Hull,88
2016-17,8,Leicester,13
2016-17,9,Liverpool,14
2016-17,10,Man City,43
2016-17,11,Man Utd,1
2016-17,12,Middlesbrough,25
2016-17,13,Southampton,20
2016-17,14,Stoke,110
2016-17,15,Sunderland,56
2016-17,16,Swansea,80
2016-17,17,Spurs,6
2016-17,18,Watford,57
2016-17,19,West Brom,35
2016-17,20,West Ham,21
2017-18,1,Arsenal,3
2017-18,2,Bournemouth,91
2017-18,3,Brighton,36
2017-18,4,Burnley,90
2017-18,5,Chelsea,8
2017-18,6,Crystal Palace,31
2017-18,7,Everton,11
2017-18,8,Huddersfield,38
2017-18,9,Leicester,13
2017-18,10,Liverpool,14
2017-18,11,Man City,43
2017-18,12,Man Utd,1
2017-18,13,Newcastle,4
2017-18,14,Southampton,20
2017-18,15,Stoke,110
2017-18,16,Swansea,80
2017-18,17,Spurs,6
2017-18,18,Watford,57
2017-18,19,West Brom,35
2017-18,20,West Ham,21
2018-19,1,Arsenal,3
2018-19,2,Bournemouth,91
2018-19,3,Brighton,36
2018-19,4,Burnley,90
2018-19,5,Cardiff,97
2018-19,6,Chelsea,8
2018-19,7,Crystal Palace,31
2018-19,8,Everton,11
2018-19,9,Fulham,54
2018-19,10,Huddersfield,38
2018-19,11,Leicester,13
2018-19,12,Liverpool,14
2018-19,13,Man City,43
2018-19,14,Man Utd,1
2018-19,15,Newcastle,4
2018-19,16,Southampton,20
2018-19,17,Spurs,6
2018-19,18,Watford,57
2018-19,19,West Ham,21
2018-19,20,Wolves,39
2019-20,1,Arsenal,3
2019-20,2,Aston Villa,7
2019-20,3,Bournemouth,91
2019-20,4,Brighton,36
2019-20,5,Burnley,90
2019-20,6,Chelsea,8
2019-20,7,Crystal Palace,31
2019-20,8,Everton,11
2019-20,9,Leicester,13
2019-20,10,Liverpool,14
2019-20,11,Man City,43
2019-20,12,Man Utd,1
2019-20,13,Newcastle,4
2019-20,14,Norwich,45
2019-20,15,Sheffield Utd,49
2019-20,16,Southampton,20
2019-20,17,Spurs,6
2019-20,18,Watford,57
2019-20,19,West Ham,21
2019-20,20,Wolves,39
2020-21,1,Arsenal,3
2020-21,2,Aston Villa,7
2020-21,3,Brighton,36
2020-21,4,Burnley,90
2020-21,5,Chelsea,8
2020-21,6,Crystal Palace,31
2020-21,7,Everton,11
2020-21,8,Fulham,54
2020-21,9,Leicester,13
2020-21,10,Leeds,2
2020-21,11,Liverpool,14
2020-21,12,Man City,43
2020-21,13,Man Utd,1
2020-21,14,Newcastle,4
2020-21,15,Sheffield Utd,49
2020-21,16,Southampton,20
2020-21,17,Spurs,6
2020-21,18,West Brom,35
2020-21,19,West Ham,21
2020-21,20,Wolves,39
2021-22,1,Arsenal,3
2021-22,2,Aston Villa,7
2021-22,3,Brentford,94
2021-22,4,Brighton,36
2021-22,5,Burnley,90
2021-22,6,Chelsea,8
2021-22,7,Crystal Palace,31
2021-22,8,Everton,11
2021-22,9,Leicester,13
2021-22,10,Leeds,2
2021-22,11,Liverpool,14
2021-22,12,Man City,43
2021-22,13,Man Utd,1
2021-22,14,Newcastle,4
2021-22,15,Norwich,45
2021-22,16,Southampton,20
2021-22,17,Spurs,6
2021-22,18,Watford,57
2021-22,19,West Ham,21
2021-22,20,Wolves,39
